Timestamp,Question,Answer,IPConv
17/07/2020 11:04,Q13_ents,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q12_edu,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q11_bus_econ,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q10_health,2,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q9_transp,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q8_edu,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q7_health,1,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q6_bus_econ,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q5_bus_econ,0,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q4_health,2,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q3_crime,1,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q2_misc,2,650a727a667534f1e3ccc59401c81ad0
17/07/2020 11:04,Q1_ents,2,650a727a667534f1e3ccc59401c81ad0
16/07/2020 15:38,Q31_crime,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q30_misc,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q29_health,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q28_health,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q27_bus_econ,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q26_crime,3,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q25_ents,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q24_bus_econ,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q23_ents,0,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q22_transp,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q21_bus_econ,0,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q20_health,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q19_bus_econ,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q18_crime,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q17_health,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q16_misc,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q15_misc,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q14_health,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q13_ents,3,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q12_edu,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q11_bus_econ,0,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q10_health,3,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q9_transp,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q8_edu,0,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q7_health,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q6_bus_econ,1,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q5_bus_econ,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q4_health,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q3_crime,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q2_misc,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 15:38,Q1_ents,2,d00aef49d1767d4a3bfb26b4a84ce672
16/07/2020 12:38,Q31_crime,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q30_misc,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q29_health,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q28_health,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q27_bus_econ,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q26_crime,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q25_ents,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q24_bus_econ,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q23_ents,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q22_transp,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q21_bus_econ,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q20_health,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q19_bus_econ,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q18_crime,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q17_health,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q16_misc,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q15_misc,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q14_health,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q13_ents,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q12_edu,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q11_bus_econ,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q10_health,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q9_transp,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q8_edu,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q7_health,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q6_bus_econ,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q5_bus_econ,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q4_health,2,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q3_crime,0,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q2_misc,1,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:38,Q1_ents,3,4a6e762041f1aa56f2e4a9dbd77e839b
16/07/2020 12:33,Q31_crime,2,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q30_misc,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q29_health,1,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q28_health,3,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q27_bus_econ,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q26_crime,3,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q25_ents,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q24_bus_econ,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q23_ents,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q22_transp,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q21_bus_econ,0,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q20_health,2,4161b9b9142406b5bdf13631af63a789
16/07/2020 12:33,Q19_bus_econ,0,4161b9b9142406b5bdf13631af63a789
