OBJECTID,LAD18CD,LAD18NM,LAD18NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
30,E06000030,Swindon, ,418551,186564,-1.73367,51.5776,230093376.535385,103014.619569825
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921,343378156.816101,112677.957021395
32,E06000032,Luton, ,508606,222559,-0.42319,51.891,43352491.4391708,34569.5802049273
33,E06000033,Southend-on-Sea, ,587776,186833,0.706906,51.5491,41755607.1122131,43367.3698881309
34,E06000034,Thurrock, ,562126,181586,0.334902,51.5099,163493493.295349,94109.8953578278
35,E06000035,Medway, ,578207,175194,0.563172,51.4477,193540410.852257,189674.019777246
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,109384214.698547,62507.9039338429
37,E06000037,West Berkshire, ,450575,172095,-1.27364,51.4456,704169399.136002,166801.577518088
38,E06000038,Reading, ,470226,173154,-0.99071,51.453,40397992.5604858,39330.6369676028
39,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32542009.1851425,44181.3923505901
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.4803,198427168.804283,114829.071707676
41,E06000041,Wokingham, ,476624,169902,-0.89935,51.423,178965482.815651,86865.5865913941
42,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.0724,308626794.409332,102960.103506039
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079,50.8465,82785268.2443199,59061.8923695305
44,E06000044,Portsmouth, ,465607,101357,-1.07023,50.808,40388465.2835236,60777.7119606082
45,E06000045,Southampton, ,442253,113608,-1.40025,50.9204,49913470.5973892,59099.5829321703
46,E06000046,Isle of Wight, ,447187,85949,-1.3336,50.6713,379614783.869961,210104.140201852
47,E06000047,County Durham, ,410381,532242,-1.8405,54.6851,2231542401.79137,315237.419734297
48,E06000049,Cheshire East, ,380510,363462,-2.29299,53.1679,1166357380.67153,301224.585973777
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.1634,916700559.370239,307826.93841586
50,E06000051,Shropshire, ,350227,302960,-2.73667,52.6221,3197275386.07306,580648.560565515
51,E06000052,Cornwall, ,212501,64494,-4.64249,50.4502,3549500873.75191,1198959.88091084
52,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.9233,16337569.4228706,116312.050817676
53,E06000054,Wiltshire, ,405209,158863,-1.92661,51.3288,3255338119.59842,402006.265822106
54,E06000055,Bedford, ,505721,256463,-0.45463,52.1963,476408301.353333,131721.068734066
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999,715665302.182816,232692.294357138
56,E06000057,Northumberland, ,395323,600699,-2.07521,55.3004,5026214912.40811,584208.244555271
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.9004,902753226.832191,243091.466454596
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.6789,196348231.288857,87262.4411664614
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.5594,141275609.368065,85473.7659343128
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.6662,324572082.138321,113201.553517462
61,E07000008,Cambridge, ,545420,257901,0.126436,52.2002,40698796.0111542,37170.4263114721
62,E07000009,East Cambridgeshire, ,555577,275765,0.283163,52.3579,651279307.206039,234015.782736451
63,E07000010,Fenland, ,536361,294959,0.009016,52.5354,546450060.762192,187881.707582689
64,E07000011,Huntingdonshire, ,521015,274279,-0.22459,52.3532,912458400.412407,223625.932794147
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1081,901627226.15329,257042.724651524
66,E07000026,Allerdale, ,317516,532995,-3.28096,54.6852,1257798811.50938,332948.741219164
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19976,54.1574,77978674.3995667,120465.122248013
68,E07000028,Carlisle, ,348444,565195,-2.80705,54.9787,1039297854.51442,274824.984097508
69,E07000029,Copeland, ,310871,508741,-3.37664,54.4662,737613573.891678,233223.088646757
70,E07000030,Eden, ,359636,526396,-2.62678,54.6311,2156474495.09787,268724.751515113
71,E07000031,South Lakeland, ,349265,489554,-2.78108,54.2991,1553032005.38751,384090.863366072
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.0288,265437864.2034,109035.231110082
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.2388,160334650.591293,96238.9416358477
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.2557,66035293.7197113,52617.6370544851
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.1233,795318062.073112,245474.059778574
76,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,109630045.589233,73547.4074227637
77,E07000037,High Peak, ,410474,387660,-1.84398,53.3857,540254002.465973,159632.588363944
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.1624,275623526.160095,161243.228244019
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.8249,338128981.884033,166772.328092444
80,E07000040,East Devon, ,313775,96055,-3.22381,50.7576,814361622.223549,218254.523814659
81,E07000041,Exeter, ,293236,92003,-3.51372,50.7178,47042953.7663803,47533.9504583199
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.8688,912897721.783901,246408.541804958
83,E07000043,North Devon, ,265110,132524,-3.92691,51.0761,1086031800.81869,305443.803517353
84,E07000044,South Hams, ,270677,54033,-3.81994,50.3719,886484969.483872,464362.401897189
85,E07000045,Teignbridge, ,283069,80251,-3.65396,50.6102,673892710.944498,187831.102786686
86,E07000046,Torridge, ,244174,114379,-4.21776,50.9078,985356187.540123,313692.13257983
87,E07000047,West Devon, ,256379,86998,-4.03357,50.6649,1161094501.49681,246745.359644193
88,E07000048,Christchurch, ,413093,96313,-1.8157,50.7663,50375657.6798248,64049.9081512973
89,E07000049,East Dorset, ,401685,109966,-1.9774,50.8892,354417948.000168,138644.60674474
90,E07000050,North Dorset, ,381794,113407,-2.26037,50.9198,609217912.431995,158747.015332975
91,E07000051,Purbeck, ,391183,88321,-2.12618,50.6945,404412419.555563,218717.668721736
92,E07000052,West Dorset, ,357765,99663,-2.60061,50.795,1081528626.9481,286933.453461756
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45134,50.6324,41777983.5265522,72412.4408044338
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.7741,44159462.1357117,35287.0586974466
95,E07000062,Hastings, ,581599,110745,0.579429,50.8677,29724295.1070404,33473.5292053888
96,E07000063,Lewes, ,541474,105685,0.007671,50.8334,292064227.833702,167744.894002027
97,E07000064,Rother, ,578730,119663,0.543064,50.9487,511745173.964767,177389.664757553
98,E07000065,Wealden, ,555048,117173,0.205153,50.9332,834998436.64426,225322.017902994
99,E07000066,Basildon, ,571548,190848,0.475055,51.5904,110025281.335304,72080.9351441476
100,E07000067,Braintree, ,577253,227335,0.575911,51.9163,611707972.274055,168686.280036761
101,E07000068,Brentwood, ,558560,196070,0.290091,51.6411,153124049.46299,72339.3562816695
102,E07000069,Castle Point, ,579490,187921,0.588084,51.5616,45070491.5422821,68031.140234776
103,E07000070,Chelmsford, ,572115,206972,0.491163,51.735,342251394.169594,124434.760444015
104,E07000071,Colchester, ,596944,223692,0.859776,51.877,333184998.931564,204996.464532442
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.7128,338984123.559326,123273.05369902
106,E07000073,Harlow, ,545276,209589,0.103888,51.7661,30537917.1762543,28515.3507176647
107,E07000074,Maldon, ,591460,212199,0.773857,51.7757,358679803.918015,336116.798389249
108,E07000075,Rochford, ,585981,191420,0.683473,51.5909,169495489.440811,179169.805112457
109,E07000076,Tendring, ,614203,222163,1.10918,51.8569,337736720.182266,227452.587233323
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.9359,641182807.814819,166508.348040307
111,E07000078,Cheltenham, ,394925,222232,-2.07515,51.8986,46596068.6741638,38230.7369755004
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.7725,1164524403.40005,332444.241892846
113,E07000080,Forest of Dean, ,367175,212751,-2.47755,51.8124,526293439.638905,188641.983438266
114,E07000081,Gloucester, ,384071,216449,-2.23263,51.8464,40553090.0298462,33539.579752036
115,E07000082,Stroud, ,378806,202410,-2.3082,51.72,460650083.812828,172422.938545922
116,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.9348,414414325.8592,204835.004134173
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.2594,633817174.743011,143437.076099788
118,E07000085,East Hampshire, ,474404,129237,-0.93971,51.0577,514432073.296314,144540.45638126
119,E07000086,Eastleigh, ,447202,116802,-1.32943,50.9487,79764225.115612,74041.0250420718
120,E07000087,Fareham, ,453774,106324,-1.23742,50.8539,74239162.5382614,65036.2423935462
121,E07000088,Gosport, ,458773,101094,-1.16725,50.8064,25358123.0570526,38330.0609243143
122,E07000089,Hart, ,477985,154240,-0.88321,51.282,215265080.736488,77847.6509709791
123,E07000090,Havant, ,470177,108563,-1.004,50.8723,55372993.8733788,95966.1429410354
124,E07000091,New Forest, ,428999,106521,-1.58936,50.8575,753040087.193481,267188.133441182
125,E07000092,Rushmoor, ,486022,153944,-0.76807,51.2781,39045039.9988327,31892.9860931807
126,E07000093,Test Valley, ,434930,137329,-1.50214,51.1342,627590334.081276,189027.38804898
127,E07000094,Winchester, ,453115,125901,-1.24393,51.03,660974521.710865,172255.18893988
128,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51442302.898407,39068.5830273996
129,E07000096,Dacorum, ,500084,208745,-0.55098,51.7685,212476395.569984,110103.603607566
130,E07000098,Hertsmere, ,519774,199352,-0.26899,51.6802,101128162.423927,61228.0750130055
131,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.9574,375382315.493843,168316.593097444
132,E07000102,Three Rivers, ,507313,196418,-0.45005,51.6563,88824169.462532,74112.3031212717
133,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.4040604,26392.3637917562
134,E07000105,Ashford, ,597640,140644,0.823374,51.131,580617311.422043,149446.336252667
135,E07000106,Canterbury, ,616026,158096,1.09626,51.281,308883621.639877,131969.026120381
136,E07000107,Dartford, ,556167,172917,0.245276,51.4337,72764009.7263565,56215.5420029802
137,E07000108,Dover, ,628967,150940,1.27693,51.2117,315066072.265793,139292.874366254
138,E07000109,Gravesham, ,566969,169115,0.398744,51.3965,99020167.1361237,60505.2602075952
139,E07000110,Maidstone, ,580489,151670,0.584061,51.2357,393332648.592598,122946.334427254
140,E07000111,Sevenoaks, ,552776,155218,0.188936,51.2756,370346869.099564,134435.287579733
141,E07000112,Folkestone and Hythe, ,610318,134597,1.0008,51.0722,356764717.021706,148352.529645823
142,E07000113,Swale, ,593761,161976,0.77953,51.3239,374466771.510269,252594.395810959
143,E07000114,Thanet, ,631844,166753,1.3283,51.3525,103338982.016396,56839.0946435157
144,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.2606,240125397.435135,133528.41193166
145,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.1025,331328859.08857,150590.325287995
146,E07000117,Burnley, ,384886,430882,-2.2308,53.7741,110683998.008774,57764.4790119146
147,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,202796544.061691,102881.195104926
148,E07000119,Fylde, ,339562,433812,-2.91902,53.7971,165770476.279648,105571.125122575
149,E07000120,Hyndburn, ,374407,428971,-2.38964,53.7565,72997474.6856232,42655.4748213875
150,E07000121,Lancaster, ,356875,464988,-2.66062,54.079,576217402.735199,322522.330869167
151,E07000122,Pendle, ,387637,443368,-2.18957,53.8864,169380096.549377,79243.5750121282
152,E07000123,Preston, ,352820,436429,-2.71817,53.822,142293669.28627,79082.5562239428
153,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584471490.44371,150499.795921906
154,E07000125,Rossendale, ,382827,420955,-2.26149,53.6848,138040902.835709,71149.6667616871
155,E07000126,South Ribble, ,352016,425840,-2.72873,53.7267,112955569.643646,94374.7080610371
156,E07000127,West Lancashire, ,342611,413268,-2.86893,53.6128,346783945.601906,156000.654348804
157,E07000128,Wyre, ,347227,445159,-2.80462,53.8999,282147531.745743,191451.04937648
158,E07000129,Blaby, ,454385,297994,-1.19887,52.5771,130468677.753326,100819.764190688
159,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,279042273.779709,115474.240139127
160,E07000131,Harborough, ,474549,293875,-0.90229,52.5377,592692043.100319,185950.622144626
161,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.6088,297349280.755783,111596.04963784
162,E07000133,Melton, ,477328,323472,-0.8544,52.8033,481380509.624313,140629.285236828
163,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279328076.043144,116453.02578521
164,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.5887,23526096.7696533,31171.7276131109
165,E07000136,Boston, ,526851,343953,-0.11218,52.9779,364889917.626648,156195.17660161
166,E07000137,East Lindsey, ,534862,376106,0.020549,53.2648,1765004488.01103,316614.31776529
167,E07000138,Lincoln, ,496347,370096,-0.55848,53.2192,35690273.0136414,32969.6756558987
168,E07000139,North Kesteven, ,502135,354788,-0.4767,53.0806,922471384.860474,181807.543062244
169,E07000140,South Holland, ,532909,322928,-0.03058,52.7876,750912064.646881,198169.832492449
170,E07000141,South Kesteven, ,501406,328986,-0.49565,52.8489,942585798.373352,209816.236294167
171,E07000142,West Lindsey, ,499314,390326,-0.50774,53.4004,1155731960.83215,249630.479791094
172,E07000143,Breckland, ,591015,303330,0.818716,52.5942,1305116638.40971,239527.47521662
173,E07000144,Broadland, ,619865,315909,1.25233,52.6962,552400758.918915,205126.091520377
174,E07000145,Great Yarmouth, ,646760,315882,1.6495,52.6844,174470645.245483,137814.06402606
175,E07000146,King's Lynn and West Norfolk, ,571220,315836,0.533274,52.7131,1438842449.63748,432699.717181175
176,E07000147,North Norfolk, ,611105,330845,1.13252,52.8338,964046164.992889,357487.547271152
177,E07000148,Norwich, ,622355,309773,1.28498,52.6401,39023520.1729431,52508.9869754528
178,E07000149,South Norfolk, ,628991,295823,1.37325,52.5122,907705136.228256,258369.280341699
179,E07000150,Corby, ,487862,290681,-0.7069,52.507,80280906.2947845,66291.5010352441
180,E07000151,Daventry, ,467286,268437,-1.01447,52.3099,665600472.477409,181982.558865492
181,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.4791,509787253.103172,163228.736127247
182,E07000153,Kettering, ,483866,282852,-0.76773,52.4372,233489921.553917,100689.325547764
183,E07000154,Northampton, ,476495,260539,-0.88121,52.2378,80771940.1186295,46341.4275064834
184,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.1184,634023178.608284,225304.037070251
185,E07000156,Wellingborough, ,487787,266827,-0.71425,52.2926,163036488.548759,69758.3288433259
186,E07000163,Craven, ,389513,461989,-2.16168,54.0538,1178807442.73689,199883.569852491
187,E07000164,Hambleton, ,443009,490546,-1.34049,54.3087,1311228117.62491,298519.508232093
188,E07000165,Harrogate, ,427473,464652,-1.58161,54.0771,1309127592.4305,246964.316750891
189,E07000166,Richmondshire, ,401039,495786,-1.98552,54.3576,1318707276.52556,221709.912645658
190,E07000167,Ryedale, ,475590,478890,-0.84277,54.2002,1506593794.41794,249893.912756372
191,E07000168,Scarborough, ,495797,495547,-0.5278,54.3465,816487082.760178,243175.612216705
192,E07000169,Selby, ,457551,426670,-1.12908,53.7333,599310812.540726,264868.941863609
193,E07000170,Ashfield, ,450035,355843,-1.25422,53.0975,109557940.92691,69174.6918215472
194,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356,637803646.349945,159734.417955605
195,E07000172,Broxtowe, ,449829,341893,-1.25944,52.9721,80098842.9005585,65999.6129039827
196,E07000173,Gedling, ,459184,347811,-1.11907,53.0243,119981505.985779,69754.2747811357
197,E07000174,Mansfield, ,455047,363637,-1.17804,53.167,76696894.9435425,51090.7596451567
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651340472.517029,187422.204220242
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.9124,409231535.343216,123324.153239119
200,E07000177,Cherwell, ,449301,221201,-1.28506,51.8872,588741164.731949,225625.57085171
201,E07000178,Oxford, ,452277,206368,-1.24405,51.7536,45602896.7932358,34999.0083795465
202,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.6229,678537173.46347,205361.184843661
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.6544,578644537.26403,175937.923358841
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.8399,714422027.332855,160247.414083611
205,E07000187,Mendip, ,362238,144090,-2.54178,51.1948,739435426.378056,198849.769170464
206,E07000188,Sedgemoor, ,338426,143997,-2.88251,51.1918,564358331.446922,243393.198529936
207,E07000189,South Somerset, ,345633,120798,-2.77588,50.984,959040235.459705,241316.697821398
208,E07000190,Taunton Deane, ,318327,123470,-3.16542,51.0048,462366994.568741,174002.214005181
209,E07000191,West Somerset, ,294768,136702,-3.50494,51.1199,726897628.803123,176561.674495149
210,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.7017,78882571.1931686,50127.5676827052
211,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.8365,389985151.401993,183775.439600247
212,E07000194,Lichfield, ,416283,310967,-1.76049,52.6962,331294331.619873,127468.133749983
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.0034,210957320.579865,108258.877906414
214,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.6969,407322253.104218,184894.034718812
215,E07000197,Stafford, ,389001,327836,-2.16475,52.8479,598172232.706764,159078.504004003
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.0692,575849820.397621,152448.005729777
217,E07000199,Tamworth, ,421455,302550,-1.68451,52.6203,30850718.8334045,30729.9287491272
218,E07000200,Babergh, ,599994,244657,0.916231,52.0642,595214503.383133,190607.807387417
219,E07000201,Forest Heath, ,572316,273586,0.527606,52.3333,377710788.501938,146442.659716775
220,E07000202,Ipswich, ,616954,244670,1.16327,52.0579,39522490.3312683,44885.1291277752
221,E07000203,Mid Suffolk, ,611646,262338,1.09695,52.2186,871070646.005127,191154.578858461
222,E07000204,St Edmundsbury, ,582672,265927,0.675273,52.2612,656964994.431732,204397.209917152
223,E07000205,Suffolk Coastal, ,633247,258767,1.41014,52.1778,891729655.287689,388970.779112551
224,E07000206,Waveney, ,642301,287890,1.56324,52.4352,370131707.395935,158465.308585578
225,E07000207,Elmbridge, ,511882,163658,-0.39441,51.361,96334274.6554794,52205.9885267765
226,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.3395,34079153.581398,28503.664711782
227,E07000209,Guildford, ,500408,151481,-0.56257,51.2537,270931186.772575,128414.080243344
228,E07000210,Mole Valley, ,518377,148953,-0.30603,51.2275,258320951.186081,105402.661550465
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.2585,129143924.042137,79923.3711404693
230,E07000212,Runnymede, ,501777,166979,-0.53855,51.3927,78040686.6921158,45677.2898592843
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.4155,51161363.0081558,44134.4427959961
232,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,95092959.2524261,53559.6224961707
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358,248194569.760353,83136.7824737623
234,E07000216,Waverley, ,496363,140635,-0.62343,51.1569,345170238.581459,125435.746968371
235,E07000217,Woking, ,499087,157542,-0.57982,51.3084,63603603.4636841,54781.3272127085
236,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.5648,284263709.628296,113280.485952954
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.5009,78950291.6474228,48148.5849498959
238,E07000220,Rugby, ,446498,276244,-1.31828,52.3823,353557288.510536,115093.419606897
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.1615,977869055.749466,261383.671553859
240,E07000222,Warwick, ,428484,267113,-1.58369,52.3014,282882319.745018,116717.127234739
241,E07000223,Adur, ,518065,106473,-0.32433,50.8457,41929794.7684059,56705.0976909205
242,E07000224,Arun, ,495145,105724,-0.64998,50.8432,220932571.000317,153690.698698311
243,E07000225,Chichester, ,490285,116600,-0.7163,50.9418,786216138.376186,243042.286294912
244,E07000226,Crawley, ,526390,137581,-0.19533,51.1236,44971203.4958191,38799.4080437443
245,E07000227,Horsham, ,513676,123839,-0.38123,51.0027,530270865.698475,212479.741169234
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.0595,334029226.859974,132912.168613126
247,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,32521824.5003738,29411.54604564
248,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.3617,216968480.766602,113135.303807278
249,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.1676,577070978.260262,230605.309184964
250,E07000236,Redditch, ,403705,265253,-1.9471,52.2854,54250912.1377335,41301.7132492285
251,E07000237,Worcester, ,385725,255196,-2.21025,52.1948,33278124.9592361,31263.0662267813
252,E07000238,Wychavon, ,398991,247839,-2.01614,52.1289,663541973.211693,219519.673598625
253,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,195403721.228828,100867.074265936
254,E07000240,St Albans, ,514580,209623,-0.3407,51.7736,161205876.38678,72946.0524715005
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.7609,129536897.172661,82391.8388467943
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8648,475669216.338287,135188.741435783
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.9054,25969241.2739868,28588.2156282442
258,E08000001,Bolton, ,368352,409873,-2.47952,53.5845,139792049.940857,82646.8929448602
259,E08000002,Bury, ,379658,410768,-2.3088,53.5931,99460126.8772125,68541.6872822931
260,E08000003,Manchester, ,384591,397063,-2.23359,53.4701,115648234.745895,86851.0071866277
261,E08000004,Oldham, ,396603,406784,-2.05274,53.5577,142344917.864014,71165.6720871614
262,E08000005,Rochdale, ,390315,412326,-2.14784,53.6074,158128175.374802,82713.1066981685
263,E08000006,Salford, ,374556,398128,-2.38485,53.4793,97197271.0779266,63268.4725546815
264,E08000007,Stockport, ,391806,388264,-2.12467,53.3912,126040279.16571,73638.5814667981
265,E08000008,Tameside, ,394987,397995,-2.077,53.4787,103154300.983429,55988.9178785435
266,E08000009,Trafford, ,375790,391162,-2.36572,53.4167,106044769.990341,60712.6100365498
267,E08000010,Wigan, ,362136,402126,-2.57247,53.5145,188171010.750854,88690.0305712108
268,E08000011,Knowsley, ,344762,393778,-2.83297,53.4379,86500060.8727798,68167.3486986187
269,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,111835576.040367,62700.0178853311
270,E08000013,St. Helens, ,353412,395992,-2.7031,53.4586,136358794.366623,76386.549148373
271,E08000014,Sefton, ,334264,398832,-2.99204,53.4821,154990926.132515,120319.680407352
272,E08000015,Wirral, ,329242,386937,-3.06502,53.3745,157046386.761078,75204.9798998454
273,E08000016,Barnsley, ,429979,403327,-1.54925,53.5258,329077595.111176,126421.05007535
274,E08000017,Doncaster, ,459167,403735,-1.10894,53.527,568022260.538177,171070.148909737
275,E08000018,Rotherham, ,447542,388980,-1.28651,53.3955,286534366.823303,106151.892001375
276,E08000019,Sheffield, ,430511,389736,-1.54254,53.4036,367930013.921112,132837.034991297
277,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021,113456204.613327,65248.2974091592
278,E08000022,North Tyneside, ,431471,570602,-1.50923,55.029,82317111.4016876,65430.5532380893
279,E08000023,South Tyneside, ,435503,564057,-1.44696,54.9699,64394241.6543884,51107.2389327018
280,E08000024,Sunderland, ,436470,551525,-1.43344,54.8572,137438871.88887,99845.9079277883
281,E08000025,Birmingham, ,408150,287352,-1.88141,52.484,267791059.026596,106260.436358155
282,E08000026,Coventry, ,432807,279689,-1.51908,52.4142,98639060.6517868,54057.1910469373
283,E08000027,Dudley, ,393191,288584,-2.10171,52.4951,97958243.7456131,75382.1264862799
284,E08000028,Sandwell, ,399573,290764,-2.00771,52.5148,85558927.2387772,59210.7250254079
285,E08000029,Solihull, ,419434,281483,-1.71558,52.431,178282116.855927,101031.223245858
286,E08000030,Walsall, ,402098,300804,-1.97044,52.605,103973538.34642,59401.1794285967
287,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.5979,69436709.4809647,56054.7853531122
288,E08000032,Bradford, ,408395,438626,-1.87389,53.8438,366419745.922684,135920.252083547
289,E08000033,Calderdale, ,402617,424896,-1.96182,53.7205,363960992.234329,107687.181128375
290,E08000034,Kirklees, ,414586,416223,-1.78085,53.6423,408551660.685577,125668.238821421
291,E08000035,Leeds, ,432528,436384,-1.50736,53.8227,551706535.383255,161521.625372012
292,E08000036,Wakefield, ,438366,418235,-1.42092,53.6592,338619733.890991,109447.28165934
293,E08000037,Gateshead, ,420168,559658,-1.6868,54.9312,142359280.266495,89671.5863878693
294,E09000001,City of London, ,532382,181358,-0.09351,51.5156,2903927.25696564,9249.71693714534
